년,구,발생량,재활용량
2018,합계,6676.7,3640.7
2018,종로구,261.9,133.9
2018,중구,314.9,126.7
2018,용산구,214.3,118.9
2018,성동구,185.8,94.7
2018,광진구,247.4,168.2
2018,동대문구,318.7,208.3
2018,중랑구,303.1,192.9
2018,성북구,254.5,155.8
2018,강북구,154.7,79.5
2018,도봉구,177.4,109.8
2018,노원구,335.3,228.3
2018,은평구,249.1,110.8
2018,서대문구,212.2,103.2
2018,마포구,348.4,202.8
2018,양천구,192.8,95.1
2018,강서구,316.9,173.3
2018,구로구,222.6,76
2018,금천구,189.8,116.2
2018,영등포구,201,82.3
2018,동작구,199.5,109
2018,관악구,326.5,205.6
2018,서초구,388,215.6
2018,강남구,407.6,176
2018,송파구,394.1,199.2
2018,강동구,260.2,158.6
